company name,sector name,market cap,ticker
Bharat Electronics Limited,Defence and Aerospace,Large,BEL.NS
Solar Industries India Limited,Defence and Aerospace,Large,SOLARINDS.NS
Bharat Forge Limited,Defence and Aerospace,Mid,BHARATFORG.NS
Zen Technologies Limited,Defence and Aerospace,Mid,ZENTEC.NS
Astra Microwave Products Limited,Defence and Aerospace,Small,ASTRAMICRO.NS
Dynamatic Technologies Limited,Defence and Aerospace,Small,DYNAMATECH.NS
NTPC Limited,Power and Renewable Energy,Large,NTPC.NS
Power Grid Corporation of India Limited,Power and Renewable Energy,Large,POWERGRID.NS
SJVN Limited,Power and Renewable Energy,Mid,SJVN.NS
CESC Limited,Power and Renewable Energy,Mid,CESC.NS
Gujarat Industries Power Company Limited,Power and Renewable Energy,Small,GIPCL.NS
Orient Green Power Company Limited,Power and Renewable Energy,Small,GREENPOWER.NS
CG Power and Industrial Solutions Limited,Semiconductor and Electronics Manufacturing,Large,CGPOWER.NS
Havells India Limited,Semiconductor and Electronics Manufacturing,Large,HAVELLS.NS
Honeywell Automation India Limited,Semiconductor and Electronics Manufacturing,Mid,HONAUT.NS
PG Electroplast Limited,Semiconductor and Electronics Manufacturing,Mid,PGEL.NS
Centum Electronics Limited,Semiconductor and Electronics Manufacturing,Small,CENTUM.NS
Genus Power Infrastructures Limited,Semiconductor and Electronics Manufacturing,Small,GENUSPOWER.NS
Larsen & Toubro Limited,Capital Goods and Industrial Manufacturing,Large,LT.NS
Siemens Limited,Capital Goods and Industrial Manufacturing,Large,SIEMENS.NS
Thermax Limited,Capital Goods and Industrial Manufacturing,Mid,THERMAX.NS
AIA Engineering Limited,Capital Goods and Industrial Manufacturing,Mid,AIAENG.NS
TD Power Systems Limited,Capital Goods and Industrial Manufacturing,Small,TDPOWERSYS.NS
ESAB India Limited,Capital Goods and Industrial Manufacturing,Small,ESABINDIA.NS
Apollo Hospitals Enterprise Limited,Healthcare and Medical Devices,Large,APOLLOHOSP.NS
Fortis Healthcare Limited,Healthcare and Medical Devices,Large,FORTIS.NS
Narayana Hrudayalaya Limited,Healthcare and Medical Devices,Mid,NH.NS
Poly Medicure Limited,Healthcare and Medical Devices,Mid,POLYMED.NS
Indraprastha Medical Corporation Limited,Healthcare and Medical Devices,Small,INDRAMEDCO.NS
Kovai Medical Center and Hospital Limited,Healthcare and Medical Devices,Small,KOVAI.NS
