company name,sector name,market cap,ticker
Hindustan Aeronautics Limited,Defence and Aerospace,Large,HAL.NS
Bharat Electronics Limited,Defence and Aerospace,Large,BEL.NS
Bharat Dynamics Limited,Defence and Aerospace,Mid,BDL.NS
Garden Reach Shipbuilders and Engineers Limited,Defence and Aerospace,Mid,GRSE.NS
Data Patterns (India) Limited,Defence and Aerospace,Mid,DATAPATTNS.NS
Zen Technologies Limited,Defence and Aerospace,Mid,ZENTEC.NS
Ashok Leyland Limited,Automobiles and Auto Components,Large,ASHOKLEY.NS
Escorts Kubota Limited,Automobiles and Auto Components,Mid,ESCORTS.NS
Atul Auto Limited,Automobiles and Auto Components,Small,ATULAUTO.NS
Godfrey Phillips India Limited,Tobacco Products,Mid,GODFRYPHLP.NS
VST Industries Limited,Tobacco Products,Small,VSTIND.NS
ITC Limited,Fast Moving Consumer Goods,Large,ITC.NS
Hindustan Unilever Limited,Fast Moving Consumer Goods,Large,HINDUNILVR.NS
Hindustan Foods Limited,Fast Moving Consumer Goods,Small,HNDFDS.NS
PB Fintech Limited,Financial Technology,Large,POLICYBZR.NS
One97 Communications Limited,Financial Technology,Mid,PAYTM.NS
Adani Power Limited,Power and Renewable Energy,Large,ADANIPOWER.NS
Adani Energy Solutions Limited,Power and Renewable Energy,Large,ADANIENSOL.NS
Tata Power Company Limited,Power and Renewable Energy,Large,TATAPOWER.NS
Power Grid Corporation of India Limited,Power and Renewable Energy,Large,POWERGRID.NS
NHPC Limited,Power and Renewable Energy,Large,NHPC.NS
Nava Limited,Power and Renewable Energy,Mid,NAVA.NS
KPI Green Energy Limited,Power and Renewable Energy,Small,KPIGREEN.NS
Jaiprakash Power Ventures Limited,Power and Renewable Energy,Small,JPPOWER.NS
Tata Consultancy Services Limited,Information Technology,Large,TCS.NS
Infosys Limited,Information Technology,Large,INFY.NS
HCL Technologies Limited,Information Technology,Large,HCLTECH.NS
Wipro Limited,Information Technology,Large,WIPRO.NS
Oracle Financial Services Software Limited,Information Technology,Large,OFSS.NS
Sonata Software Limited,Information Technology,Mid,SONATSOFTW.NS
Ksolves India Limited,Information Technology,Small,KSOLVES.NS
Poly Medicure Limited,Healthcare and Medical Devices,Mid,POLYMED.NS
Apollo Hospitals Enterprise Limited,Healthcare and Medical Devices,Large,APOLLOHOSP.NS
Fortis Healthcare Limited,Healthcare and Medical Devices,Large,FORTIS.NS
Max Healthcare Institute Limited,Healthcare and Medical Devices,Large,MAXHEALTH.NS
Narayana Hrudayalaya Limited,Healthcare and Medical Devices,Mid,NH.NS
Indraprastha Medical Corporation Limited,Healthcare and Medical Devices,Small,INDRAMEDCO.NS
Vedanta Limited,Metals and Mining,Large,VEDL.NS
Hindalco Industries Limited,Metals and Mining,Large,HINDALCO.NS
Tata Steel Limited,Metals and Mining,Large,TATASTEEL.NS
JSW Steel Limited,Metals and Mining,Large,JSWSTEEL.NS
Hindustan Zinc Limited,Metals and Mining,Large,HINDZINC.NS
National Aluminium Company Limited,Metals and Mining,Mid,NATIONALUM.NS
