Sector,Company,Market_Cap_Rs_Cr_approx,Cap_Structure,,Sector,Company
Defence & Aerospace,Garden Reach Shipbuilders (GRSE),29800-30400,Large Cap,,Defence & Aerospace,Garden Reach Shipbuilders (GRSE)
Defence & Aerospace,Apollo Micro Systems,14300-14400,Mid Cap,,,Apollo Micro Systems
Defence & Aerospace,Sigma Advanced Systems,13070,Mid Cap,,,Sigma Advanced Systems
Defence & Aerospace,Bharat Electronics (BEL),150000-200000 (est.),Large Cap,,,Bharat Electronics (BEL)
Defence & Aerospace,Hindustan Aeronautics (HAL),250000-300000 (est.),Large Cap,,,Hindustan Aeronautics (HAL)
Cement & Building Materials,JK Cements,40500-40700,Large Cap,,Cement & Building Materials,JK Cements
Cement & Building Materials,Godawari Power (GPIL),16500-17200,Small Cap,,,Godawari Power (GPIL)
Cement & Building Materials,Taparia Tools,18-51,Small Cap,,,Taparia Tools
"Oil, Gas & Energy",Chennai Petroleum (CPCL),20700-20750,Large Cap,,"Oil, Gas & Energy",Chennai Petroleum (CPCL)
"Oil, Gas & Energy",Petronet LNG,43000-43950,Mid Cap,,,Petronet LNG
"Oil, Gas & Energy",Vedanta,109100,Large Cap,,,Vedanta
"Oil, Gas & Energy",NMDC,73800-74400,Mid Cap,,,NMDC
"Oil, Gas & Energy",National Aluminium (NALCO),40000+,Large Cap,,,National Aluminium (NALCO)
Pharmaceuticals & Healthcare,Sun Pharma,382600-456000,Large Cap,,Pharmaceuticals & Healthcare,Sun Pharma
Pharmaceuticals & Healthcare,Lupin,100600-102000,Large Cap,,,Lupin
Pharmaceuticals & Healthcare,Glenmark Pharma,63400-65400,Mid Cap,,,Glenmark Pharma
Pharmaceuticals & Healthcare,Emcure Pharma,Mid-size (recently listed),Mid Cap,,,Emcure Pharma
Pharmaceuticals & Healthcare,Hikal Ltd,2620-2660,Small Cap,,,Hikal Ltd
Automobile & Auto Components,Mahindra & Mahindra (M&M),424000-437000,Large Cap,,Automobile & Auto Components,Mahindra & Mahindra (M&M)
Automobile & Auto Components,Hero Motocorp,114800-117300,Large Cap,,,Hero Motocorp
Automobile & Auto Components,Hitachi Energy India (POWERINDIA),152000-158000,Large Cap,,,Hitachi Energy India (POWERINDIA)
Automobile & Auto Components,ABB India,157000-161000,Large Cap,,,ABB India
Automobile & Auto Components,Bharat Forge,30000-40000 (est.),Large Cap,,,Bharat Forge
Automobile & Auto Components,Kalyani Forge,Private (unlisted),Private,,,Kalyani Forge
Automobile & Auto Components,Kalyani Steels,Private (unlisted),Private,,,Kalyani Steels
Automobile & Auto Components,Kalyani Maxion Wheels (Pvt),Private (unlisted),Private,,,Kalyani Maxion Wheels (Pvt)
"Banking, Financial Services & Insurance",Kotak Mahindra Bank,395000-400700,Large Cap,,"Banking, Financial Services & Insurance",Kotak Mahindra Bank
"Banking, Financial Services & Insurance",Union Bank of India,139000-152000,Large Cap,,,Union Bank of India
"Banking, Financial Services & Insurance",Life Insurance Corp (LIC),530000-534000,Large Cap,,,Life Insurance Corp (LIC)
"Banking, Financial Services & Insurance",General Insurance (GIC Re),62400-63100,Mid Cap,,,General Insurance (GIC Re)
"Banking, Financial Services & Insurance",Unifinz Capital,460-464,Small Cap,,,Unifinz Capital
"Banking, Financial Services & Insurance",SBI Funds Management,111900,Large Cap,,,SBI Funds Management
"Banking, Financial Services & Insurance",Royal India Corporation,69-97,Small Cap,,,Royal India Corporation
"Banking, Financial Services & Insurance",KSL Holdings (listed arm),Small/Mid (est.),Small Cap,,,KSL Holdings (listed arm)
"Banking, Financial Services & Insurance",BF Utilities,Mid/Small (est.),Mid Cap,,,BF Utilities
Infrastructure & Construction,Adani Ports,390000-391700,Large Cap,,Infrastructure & Construction,Adani Ports
Infrastructure & Construction,Kalpataru Projects (KPIL),23600-23985,Small Cap,,,Kalpataru Projects (KPIL)
Infrastructure & Construction,Khed Economic Infrastructure (Pvt),Private (SPV),Private,,,Khed Economic Infrastructure (Pvt)
"Metals, Mining & Materials",Hindalco Industries,233000+,Large Cap,,"Metals, Mining & Materials",Hindalco Industries
"Metals, Mining & Materials",Vedanta,109100,Large Cap,,,Vedanta
"Metals, Mining & Materials",Mahalaxmi Rubtech,163-200,Small Cap,,,Mahalaxmi Rubtech
IT & Software,California Software,97-100,Small Cap,,IT & Software,California Software
IT & Software,Tech Mahindra,100000-150000 (est.),Large Cap,,,Tech Mahindra
Trading & Diversified,Bombay Burmah Trading (BBTC),9950-10300,Small Cap,,Trading & Diversified,Bombay Burmah Trading (BBTC)
Trading & Diversified,Essar (India),Private (unlisted),Private,,,Essar (India)
Jewellery & Retail,Kalyan Jewellers,62300-62400,Mid Cap,,Jewellery & Retail,Kalyan Jewellers
,,,,,,
