Sector,Company,"Market Cap (₹ Cr, approx.)",Cap Structure
Defence & Aerospace,Garden Reach Shipbuilders (GRSE),"~29,800–30,400",Large Cap kotakneo+1
,Apollo Micro Systems,"~14,300–14,400",Mid Cap groww+1
,Sigma Advanced Systems,"~13,070",Mid Cap sharekhan+1
,Bharat Electronics (BEL),(Large Cap PSU; ~1.5–2 lakh Cr range),Large Cap
,Hindustan Aeronautics (HAL),(Large Cap PSU; ~2.5–3 lakh Cr range),Large Cap
Cement & Building Materials,JK Cements,"~40,500–40,700",Large Cap choiceindia+1
,Godawari Power (GPIL),"~16,500–17,200",Small Cap kotakneo+1
,Taparia Tools,~18–51,Small/Micro Cap groww+1
"Oil, Gas & Energy",Chennai Petroleum (CPCL),"~20,700–20,750",Large Cap bajajfinserv+1
,Petronet LNG,"~43,000–43,950",Mid/Large Cap etmoney+1
,Vedanta,"~1,09,100",Large Cap
,NMDC,"~73,800–74,400",Mid/Large Cap bajajfinserv+1
,National Aluminium (NALCO),"~40,000+",Large Cap (PSU)
Pharmaceuticals & Healthcare,Sun Pharma,"~3,82,600–4,56,000",Large Cap
,Lupin,"~1,00,600–1,02,000",Large Cap etmoney+1
,Glenmark Pharma,"~63,400–65,400",Mid Cap kotakneo+1
,Emcure Pharma,(Recently listed; mid-size),Mid/Small Cap
,Hikal Ltd,"~2,620–2,660",Small Cap kotakneo+1
Automobile & Auto Components,Mahindra & Mahindra (M&M),"~4,24,000–4,37,000",Large Cap kotakneo+1
,Hero Motocorp,"~1,14,800–1,17,300",Large Cap economictimes.indiatimes
,Hitachi Energy India (POWERINDIA),"~1,52,000–1,58,000",Large Cap bajajfinserv
,ABB India,"~1,57,000–1,61,000",Large Cap etmoney+1
,Bharat Forge,(Large Cap; ~30–40k Cr range),Large Cap
,Kalyani Forge,(Group; likely unlisted/private),Private
,Kalyani Steels,(Group; likely unlisted/private),Private
,Kalyani Maxion Wheels (Pvt),(Private),Private
"Banking, Financial Services & Insurance",Kotak Mahindra Bank,"~3,95,000–4,00,700",Large Cap angelone+1
,Union Bank of India,"~1,39,000–1,52,000",Large Cap indmoney+1
,Life Insurance Corp (LIC),"~5,30,000–5,34,000",Large Cap indmoney+1
,General Insurance (GIC Re),"~62,400–63,100",Mid Cap etmoney+1
,Unifinz Capital,~460–464,Small Cap kotakneo+1
,SBI Funds Management,"~1,11,900",Large Cap bajajfinserv
,Royal India Corporation,~69–97,Small/Micro Cap kotakneo+1
,KSL Holdings (listed arm),(Small/Mid; portfolio mgmt),Small/Mid Cap
,BF Utilities,(Mid/Small; infra investments),Mid/Small Cap
Infrastructure & Construction,Adani Ports,"~3,90,000–3,91,700",Large Cap indmoney+1
,Kalpataru Projects (KPIL),"~23,600–23,985",Small Cap groww+1
,Khed Economic Infrastructure (Pvt),(Private SPV),Private
"Metals, Mining & Materials",Hindalco Industries,"~2,33,000+",Large Cap
,Vedanta,"~1,09,100",Large Cap
,Mahalaxmi Rubtech,~163–200,Small Cap etmoney+1
IT & Software,California Software,~97–100,Small Cap
,Tech Mahindra,(Large Cap; ~1–1.5 lakh Cr),Large Cap
Trading & Diversified,Bombay Burmah Trading (BBTC),"~9,950–10,300",Small Cap
,Essar (India),(Likely unlisted),Private
Jewellery & Retail,Kalyan Jewellers,"~62,300–62,400",Mid Cap zerodha
