Company name,Sector Name,Financial Year,Model,Reason code,Explanation
Apollo Micro Systems Limited,Defence and Aerospace,2025,(DCF) Intrinsic Value,NEGATIVE EQUITY VALUE,"enterprise value ₹974,793,053 is below net debt ₹2,950,778,000; equity value is nil under these assumptions (WACC 13.61%, growth 18.00%)"
Apollo Micro Systems Limited,Defence and Aerospace,2024,(DCF) Intrinsic Value,NEGATIVE EQUITY VALUE,"enterprise value ₹967,672,214 is below net debt ₹2,078,478,000; equity value is nil under these assumptions (WACC 13.67%, growth 18.00%)"
Apollo Micro Systems Limited,Defence and Aerospace,2023,(DCF) Intrinsic Value,NEGATIVE EQUITY VALUE,"enterprise value ₹1,185,385,779 is below net debt ₹1,434,014,000; equity value is nil under these assumptions (WACC 12.16%, growth 18.00%)"
JK Cement Limited,Cement and Building Materials,2025,(DCF) Intrinsic Value,NEGATIVE EQUITY VALUE,"enterprise value ₹19,122,930,606 is below net debt ₹38,854,400,000; equity value is nil under these assumptions (WACC 8.81%, growth 2.00%)"
JK Cement Limited,Cement and Building Materials,2023,(DCF) Intrinsic Value,NOT MEANINGFUL,"FCFF for FY2023 is negative (₹-3,053,503,520) and fewer than two positive years exist to normalise against"
JK Cement Limited,Cement and Building Materials,2022,(DCF) Intrinsic Value,NOT MEANINGFUL,"FCFF for FY2022 is negative (₹-4,128,301,436) and fewer than two positive years exist to normalise against"
JK Cement Limited,Cement and Building Materials,2021,(DCF) Intrinsic Value,NOT MEANINGFUL,"FCFF for FY2021 is negative (₹-3,753,997,644) and fewer than two positive years exist to normalise against"
Emcure Pharmaceuticals Limited,Pharmaceuticals and Healthcare,2024,Market Price,PRICE UNAVAILABLE,no traded closes between 2023-04-01 and 2024-03-31 (history available only for 2024-07-10 to 2026-04-02; listing may post-date this FY or the scrip was suspended)
Emcure Pharmaceuticals Limited,Pharmaceuticals and Healthcare,2024,(XGBoost) Intrinsic Value,PRICE UNAVAILABLE,XGBoost predicted a ratio of 1.006 but there is no FY2024 mean price to multiply it by
Emcure Pharmaceuticals Limited,Pharmaceuticals and Healthcare,2024,(Random Forest) Intrinsic Value,PRICE UNAVAILABLE,Random Forest predicted a ratio of 1.351 but there is no FY2024 mean price to multiply it by
Emcure Pharmaceuticals Limited,Pharmaceuticals and Healthcare,2024,(LightGBM) Intrinsic Value,PRICE UNAVAILABLE,LightGBM predicted a ratio of 1.130 but there is no FY2024 mean price to multiply it by
Emcure Pharmaceuticals Limited,Pharmaceuticals and Healthcare,2023,Market Price,PRICE UNAVAILABLE,no traded closes between 2022-04-01 and 2023-03-31 (history available only for 2024-07-10 to 2026-04-02; listing may post-date this FY or the scrip was suspended)
Emcure Pharmaceuticals Limited,Pharmaceuticals and Healthcare,2023,(XGBoost) Intrinsic Value,PRICE UNAVAILABLE,XGBoost predicted a ratio of 1.525 but there is no FY2023 mean price to multiply it by
Emcure Pharmaceuticals Limited,Pharmaceuticals and Healthcare,2023,(Random Forest) Intrinsic Value,PRICE UNAVAILABLE,Random Forest predicted a ratio of 1.529 but there is no FY2023 mean price to multiply it by
Emcure Pharmaceuticals Limited,Pharmaceuticals and Healthcare,2023,(LightGBM) Intrinsic Value,PRICE UNAVAILABLE,LightGBM predicted a ratio of 1.740 but there is no FY2023 mean price to multiply it by
Emcure Pharmaceuticals Limited,Pharmaceuticals and Healthcare,2022,Market Price,PRICE UNAVAILABLE,no traded closes between 2021-04-01 and 2022-03-31 (history available only for 2024-07-10 to 2026-04-02; listing may post-date this FY or the scrip was suspended)
Emcure Pharmaceuticals Limited,Pharmaceuticals and Healthcare,2022,(XGBoost) Intrinsic Value,PRICE UNAVAILABLE,XGBoost predicted a ratio of 2.311 but there is no FY2022 mean price to multiply it by
Emcure Pharmaceuticals Limited,Pharmaceuticals and Healthcare,2022,(Random Forest) Intrinsic Value,PRICE UNAVAILABLE,Random Forest predicted a ratio of 1.815 but there is no FY2022 mean price to multiply it by
Emcure Pharmaceuticals Limited,Pharmaceuticals and Healthcare,2022,(LightGBM) Intrinsic Value,PRICE UNAVAILABLE,LightGBM predicted a ratio of 2.290 but there is no FY2022 mean price to multiply it by
Emcure Pharmaceuticals Limited,Pharmaceuticals and Healthcare,2021,Market Price,PRICE UNAVAILABLE,no traded closes between 2020-04-01 and 2021-03-31 (history available only for 2024-07-10 to 2026-04-02; listing may post-date this FY or the scrip was suspended)
Emcure Pharmaceuticals Limited,Pharmaceuticals and Healthcare,2021,(XGBoost) Intrinsic Value,PRICE UNAVAILABLE,XGBoost predicted a ratio of 0.887 but there is no FY2021 mean price to multiply it by
Emcure Pharmaceuticals Limited,Pharmaceuticals and Healthcare,2021,(Random Forest) Intrinsic Value,PRICE UNAVAILABLE,Random Forest predicted a ratio of 1.137 but there is no FY2021 mean price to multiply it by
Emcure Pharmaceuticals Limited,Pharmaceuticals and Healthcare,2021,(LightGBM) Intrinsic Value,PRICE UNAVAILABLE,LightGBM predicted a ratio of 0.873 but there is no FY2021 mean price to multiply it by
Hikal Limited,Pharmaceuticals and Healthcare,2024,(DCF) Intrinsic Value,NOT MEANINGFUL,"FCFF for FY2024 is negative (₹-316,280,628) and fewer than two positive years exist to normalise against"
Hikal Limited,Pharmaceuticals and Healthcare,2023,(DCF) Intrinsic Value,NOT MEANINGFUL,"FCFF for FY2023 is negative (₹-91,655,619) and fewer than two positive years exist to normalise against"
Hikal Limited,Pharmaceuticals and Healthcare,2022,(DCF) Intrinsic Value,NOT MEANINGFUL,"FCFF for FY2022 is negative (₹-877,335,990) and fewer than two positive years exist to normalise against"
Hikal Limited,Pharmaceuticals and Healthcare,2021,(DCF) Intrinsic Value,NOT MEANINGFUL,"FCFF for FY2021 is negative (₹-914,891,539) and fewer than two positive years exist to normalise against"
Mahindra and Mahindra Limited,Automobile and Auto Components,2025,(DCF) Intrinsic Value,NEGATIVE EQUITY VALUE,"enterprise value ₹505,572,644,072 is below net debt ₹830,768,400,000; equity value is nil under these assumptions (WACC 8.00%, growth 2.00%)"
Hitachi Energy India Limited,Automobile and Auto Components,2023,(DCF) Intrinsic Value,NEGATIVE EQUITY VALUE,"enterprise value ₹1,643,645,748 is below net debt ₹1,711,200,000; equity value is nil under these assumptions (WACC 10.10%, growth 2.00%)"
Bharat Forge Limited,Automobile and Auto Components,2024,(DCF) Intrinsic Value,NEGATIVE EQUITY VALUE,"enterprise value ₹22,463,957,568 is below net debt ₹52,459,410,000; equity value is nil under these assumptions (WACC 9.35%, growth 2.00%)"
