Company name,Financial Year,Model,Value,Estimated?,Method
Garden Reach Shipbuilders and Engineers Limited,2025,Market Price,1603.91,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2025,(DCF) Intrinsic Value,962.06,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2025,(P/E Relative Valuation) Intrinsic Value,1788.87,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2025,(EV/EBITDA Valuation) Intrinsic Value,1855.28,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2025,(XGBoost) Intrinsic Value,2951.54,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2025,(Random Forest) Intrinsic Value,2852.79,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2025,(LightGBM) Intrinsic Value,3142.52,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2024,Market Price,712.42,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2024,(DCF) Intrinsic Value,727.65,YES,normalised FCFF (median of 3 positive years; FY2024 reported negative)
Garden Reach Shipbuilders and Engineers Limited,2024,(P/E Relative Valuation) Intrinsic Value,830.5,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2024,(EV/EBITDA Valuation) Intrinsic Value,1080.76,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2024,(XGBoost) Intrinsic Value,1257.07,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2024,(Random Forest) Intrinsic Value,1142.22,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2024,(LightGBM) Intrinsic Value,1143.83,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2023,Market Price,369.59,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2023,(DCF) Intrinsic Value,4832.95,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2023,(P/E Relative Valuation) Intrinsic Value,541.21,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2023,(EV/EBITDA Valuation) Intrinsic Value,716.75,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2023,(XGBoost) Intrinsic Value,589.32,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2023,(Random Forest) Intrinsic Value,573.37,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2023,(LightGBM) Intrinsic Value,446.97,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2022,Market Price,211.23,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2022,(DCF) Intrinsic Value,435.38,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Garden Reach Shipbuilders and Engineers Limited,2022,(P/E Relative Valuation) Intrinsic Value,247.98,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Garden Reach Shipbuilders and Engineers Limited,2022,(EV/EBITDA Valuation) Intrinsic Value,258.28,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
Garden Reach Shipbuilders and Engineers Limited,2022,(XGBoost) Intrinsic Value,257.37,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2022,(Random Forest) Intrinsic Value,345.61,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2022,(LightGBM) Intrinsic Value,296.18,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2021,Market Price,189.02,no,directly computed from reported figures
Garden Reach Shipbuilders and Engineers Limited,2021,(DCF) Intrinsic Value,205.56,YES,ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023; capex=backcast_revenue from FY2023; ocf=backcast_revenue from FY2023
Garden Reach Shipbuilders and Engineers Limited,2021,(P/E Relative Valuation) Intrinsic Value,258.9,YES,eps=derived (Net Income / Shares); net_income=backcast_revenue from FY2023
Garden Reach Shipbuilders and Engineers Limited,2021,(EV/EBITDA Valuation) Intrinsic Value,172.74,YES,ebitda=backcast_revenue from FY2023; ebit=backcast_revenue from FY2023; da=backcast_revenue from FY2023
Garden Reach Shipbuilders and Engineers Limited,2021,(XGBoost) Intrinsic Value,241.08,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Garden Reach Shipbuilders and Engineers Limited,2021,(Random Forest) Intrinsic Value,251.25,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
Garden Reach Shipbuilders and Engineers Limited,2021,(LightGBM) Intrinsic Value,272.1,YES,leave-one-year-out fold (training included years after FY2021; not a forward-looking prediction)
