Company name,Sector Name,Financial Year,Market Price,(DCF) Intrinsic Value,(P/E Relative Valuation) Intrinsic Value,(EV/EBITDA Valuation) Intrinsic Value,(XGBoost) Intrinsic Value,(Random Forest) Intrinsic Value,(LightGBM) Intrinsic Value
Garden Reach Shipbuilders and Engineers Limited,Defence and Aerospace,2025,"₹1,603.91",₹962.06,"₹1,788.87","₹1,855.28","₹2,951.54","₹2,852.79","₹3,142.52"
Garden Reach Shipbuilders and Engineers Limited,Defence and Aerospace,2024,₹712.42,₹727.65*,₹830.50,"₹1,080.76","₹1,257.07","₹1,142.22","₹1,143.83"
Garden Reach Shipbuilders and Engineers Limited,Defence and Aerospace,2023,₹369.59,"₹4,832.95",₹541.21,₹716.75,₹589.32,₹573.37,₹446.97
Garden Reach Shipbuilders and Engineers Limited,Defence and Aerospace,2022,₹211.23,₹435.38*,₹247.98*,₹258.28*,₹257.37,₹345.61,₹296.18
Garden Reach Shipbuilders and Engineers Limited,Defence and Aerospace,2021,₹189.02,₹205.56*,₹258.90*,₹172.74*,₹241.08*,₹251.25*,₹272.10*
,,,,,,,,,
Bharat Electronics Limited,Defence and Aerospace,2025,₹282.86,₹14.44,₹253.62,₹220.59,₹441.78,₹449.21,₹467.49
Bharat Electronics Limited,Defence and Aerospace,2024,₹145.12,₹331.80,₹124.49,₹123.36,₹218.05,₹217.31,₹242.89
Bharat Electronics Limited,Defence and Aerospace,2023,₹93.83,₹20.11,₹102.22,₹62.76,₹131.73,₹140.05,₹131.01
Bharat Electronics Limited,Defence and Aerospace,2022,₹62.26,₹150.03*,₹53.04*,₹50.45*,₹109.86,₹103.84,₹96.23
Bharat Electronics Limited,Defence and Aerospace,2021,₹34.33,₹95.74*,₹91.50*,₹61.00*,₹55.69*,₹46.21*,₹49.52*
,,,,,,,,,
Hindustan Aeronautics Limited,Defence and Aerospace,2025,"₹4,333.59","₹7,711.44","₹4,859.56","₹4,736.33","₹7,474.93","₹6,358.26","₹7,222.56"
Hindustan Aeronautics Limited,Defence and Aerospace,2024,"₹2,199.29","₹1,592.18","₹3,034.17","₹3,361.11","₹3,577.62","₹3,261.75","₹3,951.93"
Hindustan Aeronautics Limited,Defence and Aerospace,2023,"₹1,124.48","₹4,191.29","₹2,368.72","₹1,974.36","₹1,664.98","₹1,439.37","₹1,502.20"
Hindustan Aeronautics Limited,Defence and Aerospace,2022,₹613.81,"₹1,826.09*","₹1,433.17*","₹1,490.36*",₹963.13,"₹1,056.12",₹995.46
Hindustan Aeronautics Limited,Defence and Aerospace,2021,₹415.93,"₹1,793.87*","₹2,271.49*","₹1,589.54*",₹786.74*,₹597.83*,₹745.48*
,,,,,,,,,
Apollo Micro Systems Limited,Defence and Aerospace,2025,₹109.46,NEGATIVE EQUITY VALUE,₹64.80,₹76.68,₹153.25,₹192.89,₹145.18
Apollo Micro Systems Limited,Defence and Aerospace,2024,₹78.44,NEGATIVE EQUITY VALUE,₹26.62,₹26.19,₹135.03,₹134.96,₹150.15
Apollo Micro Systems Limited,Defence and Aerospace,2023,₹20.63,NEGATIVE EQUITY VALUE,₹12.70,₹17.79,₹32.90,₹34.86,₹30.85
Apollo Micro Systems Limited,Defence and Aerospace,2022,₹11.97,₹2.77*,₹5.50*,₹9.79*,₹16.13,₹23.68,₹25.26
