company,sector,fy,price,label,ebitda_margin,net_margin,roe,roce,debt_to_equity,net_debt_to_ebitda,interest_free_proxy,capex_to_revenue,ocf_to_ebitda,accruals_ratio,asset_turnover,earnings_yield,book_to_price,fcf_yield,ev_ebitda,revenue_growth_1y,ebitda_growth_1y,eps_growth_1y,beta,log_market_cap,cap_tier_ord,sector_Automobile and Auto Components,sector_Banking Financial Services and Insurance,sector_Cement and Building Materials,sector_Defence and Aerospace,sector_IT and Software,sector_Infrastructure and Construction,sector_Jewellery and Retail,sector_Metals Mining and Materials,sector_Oil Gas and Energy,sector_Pharmaceuticals and Healthcare,sector_Trading and Diversified
Garden Reach Shipbuilders and Engineers Limited,Defence and Aerospace,2021,189.01927730453062,1.1175287432315948,0.13771087885835093,0.08953633301217206,0.1613532156731686,0.20305100322759387,0.0,0.0,1.0,0.016585989089098786,4.133309430495897,-0.11341098934841165,0.2364377402205032,0.05288578866368469,0.32776408231496473,0.32640957425169514,12.29396772462028,0.10272177857650111,0.1526252410070073,0.15524138696701434,0.691,23.798388432514617,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garden Reach Shipbuilders and Engineers Limited,Defence and Aerospace,2022,211.2344754126764,1.7496592538562519,0.13771087885835093,0.08953633301217205,0.16135321567316857,0.20305100322759403,0.0,0.0,1.0,0.016585989089098783,4.133309430495897,-0.1134109893484117,0.23643774022050326,0.06679468287167313,0.4139656132231669,0.41225487128626276,9.733951131582673,0.41143736134525327,0.4114373613452533,0.41143736134525294,0.691,23.90950820070204,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garden Reach Shipbuilders and Engineers Limited,Defence and Aerospace,2023,369.58835463926016,1.92761337700592,0.13771087885835093,0.08953633301217205,0.16135321567316857,0.2030510032275939,0.2207551540421589,-10.9153389238992,0.0,0.016585989089098786,4.133309430495897,-0.11341098934841168,0.23643774022050323,0.05387074497905467,0.3339430414965704,0.3325629984510203,1.1511531078305433,0.41143736134525377,0.41143736134525377,0.4111220146941649,0.691,24.46892925759646,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garden Reach Shipbuilders and Engineers Limited,Defence and Aerospace,2024,712.4234563882459,2.25134628226185,0.14873685060325686,0.09956008743687514,0.2134931248460879,0.2742375736420548,0.03924290274356596,-6.211893055133739,0.0,0.013395456121591442,-1.324423446991747,0.10380126175718823,0.3500287668371933,0.04378014188095814,0.20505434396920647,-0.09250910813585847,9.078329966102451,0.4084350051879296,0.5212028903432632,0.5665494726268208,0.691,25.125211903077275,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garden Reach Shipbuilders and Engineers Limited,Defence and Aerospace,2025,1603.9118999358147,1.5652196958579607,0.1489659814964581,0.10390785075291374,0.25364946723414994,0.3236360911957514,0.004650110539198901,-4.810265719778528,0.0,0.013211352621241847,0.020615396172594065,0.049430648737932945,0.49020417439172864,0.0287048185139361,0.11316864461125908,-0.0028013351850590274,19.48944987010365,0.4144461176150871,0.41662508873757415,0.47611413914716244,0.691,25.936740288026947,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bharat Electronics Limited,Defence and Aerospace,2021,34.32891517087638,1.8137277425737957,0.25087766272240347,0.1714771968573067,0.2153007979581045,0.26381220189221183,0.0,0.0,1.0,0.03392575806501656,0.2746614998442624,0.05029870810119813,0.4903805650813991,0.08953896763277533,0.4158784755186962,0.018265598972165425,7.6336509480779915,0.10272177857650111,0.1526252410070073,0.15524138696701434,0.28,26.248466861237205,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bharat Electronics Limited,Defence and Aerospace,2022,62.26330581788094,1.506985827974068,0.25087766272240347,0.1714771968573067,0.2153007979581045,0.2638122018922119,0.0,0.0,1.0,0.03392575806501657,0.2746614998442624,0.05029870810119813,0.4903805650813991,0.05689600303796807,0.26426285261162613,0.011606561948232933,12.013308293444409,0.15250222199068544,0.1525022219906855,0.15250222199068567,0.28,26.843851114881986,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bharat Electronics Limited,Defence and Aerospace,2023,93.82991947036192,1.5466102245332694,0.25087766272240347,0.1714771968573067,0.2153007979581045,0.2638122018922119,0.004425165005847075,-1.8715691932794665,0.0,0.03392575806501656,0.27466149984426247,0.05029870810119813,0.4903805650813991,0.04358950772937527,0.20210112077426712,0.008876386351286361,13.836760907840617,0.15250222199068522,0.15250222199068514,0.15454103784230566,0.28,27.253962630350784,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bharat Electronics Limited,Defence and Aerospace,2024,145.11831281999503,1.9491843139786105,0.2871705243126394,0.20017191237191348,0.24405275604585683,0.30131914662613324,0.003828751714240739,-1.9367857011652703,0.0,0.03278140854608452,0.815127696907249,-0.017076314023844148,0.5035963050779878,0.03755556341645309,0.1539096453124808,0.03777361501790026,16.620468780372498,0.1437189226955823,0.3091734000256509,0.33251833740831305,0.28,27.690028214496298,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bharat Electronics Limited,Defence and Aerospace,2025,282.8623390197754,1.3994404107504665,0.3277099834323213,0.2301929723626894,0.26641981106334317,0.33722102990039526,0.003065502012877812,-1.2587934955786673,0.0,0.04374559312722506,0.07448351784703074,0.11650632618744285,0.5661583871026203,0.025736900943504688,0.09660137069750512,-0.002161911310991087,26.034288755970348,0.1613529734761616,0.32529953973482706,0.3357798165137615,0.28,28.357439199036094,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
