fold_fy,model,n_train,n_test,rmse_ratio,mae_ratio,directional_accuracy,leaked,status
2021,XGBoost,155,36,1.1167,0.7628,0.722,True,ok
2021,Random Forest,155,36,1.004,0.6827,0.917,True,ok
2021,LightGBM,155,36,1.1597,0.7837,0.667,True,ok
2022,XGBoost,36,37,1.1177,0.8639,0.541,False,ok
2022,Random Forest,36,37,0.8541,0.7515,0.486,False,ok
2022,LightGBM,36,37,0.9706,0.7384,0.514,False,ok
2023,XGBoost,73,39,0.6493,0.4613,0.744,False,ok
2023,Random Forest,73,39,0.562,0.3752,0.897,False,ok
2023,LightGBM,73,39,0.7052,0.5217,0.692,False,ok
2024,XGBoost,112,39,1.3503,0.6584,0.897,False,ok
2024,Random Forest,112,39,1.312,0.5955,0.923,False,ok
2024,LightGBM,112,39,1.3474,0.6659,0.872,False,ok
2025,XGBoost,151,40,0.5536,0.4722,0.6,False,ok
2025,Random Forest,151,40,0.5128,0.4367,0.575,False,ok
2025,LightGBM,151,40,0.6157,0.5143,0.575,False,ok
