ticker,name,sector,cap_bucket,mcap_cr,price,high_52w,down_from_high_pct,pe,roce_min_observed,roce_avg,roce_years_available,sales_cagr_pct,de_ratio,fy_complete,fii_pct_unverified,passes,fail_reasons,notes,errors,ROCE_FY2021,ROCE_FY2022,ROCE_FY2023,ROCE_FY2024,ROCE_FY2025
HAL.NS,Hindustan Aeronautics Limited,Defence and Aerospace,Large,334253.7,4998.0,5149.89990234375,2.95,35.84,17.49,20.03,3,6.87,0.0,3,15.83,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4),,,,,18.05,24.56,17.49
BEL.NS,Bharat Electronics Limited,Defence and Aerospace,Large,299262.4,409.3999938964844,473.45001220703125,13.53,48.8,26.38,30.08,3,15.25,0.0,3,29.02,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 48.8 above ceiling 40.0,,,,,26.38,30.13,33.72
BDL.NS,Bharat Dynamics Limited,Defence and Aerospace,Mid,48276.3,1317.0,1654.0,20.37,93.01,7.5,9.67,3,15.77,0.0,3,11.58,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 93.01 above ceiling 40.0,,,,,7.5,11.32,10.19
MAZDOCK.NS,Mazagon Dock Shipbuilders Limited,Defence and Aerospace,Large,103668.7,2570.0,3061.39990234375,16.05,38.7,26.52,32.29,3,21.5,0.0,3,5.96,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4),,,,,26.52,35.63,34.73
COCHINSHIP.NS,Cochin Shipyard Limited,Defence and Aerospace,Mid,39172.7,1489.0,1979.9000244140625,24.79,57.62,9.58,16.29,3,44.17,0.1,3,7.38,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 57.62 above ceiling 40.0,,,,,9.58,20.28,19.01
GRSE.NS,Garden Reach Shipbuilders & Engineers Limited,Defence and Aerospace,Mid,29987.4,2617.800048828125,3339.0,21.6,37.45,20.31,26.7,3,41.14,0.0,3,3.82,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4),,,,,20.31,27.42,32.36
SOLARINDS.NS,Solar Industries India Limited,Defence and Aerospace,Large,178808.4,19760.0,20422.0,3.24,89.46,30.0,31.67,3,4.27,0.31,3,45.2,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 89.46 above ceiling 40.0,,,,,35.02,30.0,30.0
BHARATFORG.NS,Bharat Forge Limited,Defence and Aerospace,Large,98581.9,2062.0,2295.0,10.15,140.37,10.81,15.33,3,8.74,0.72,3,37.53,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 140.37 above ceiling 40.0,,,,,10.81,18.93,16.25
DATAPATTNS.NS,Data Patterns (India) Limited,Defence and Aerospace,Mid,26313.6,4700.2001953125,4955.89990234375,5.16,98.45,12.71,16.58,3,24.99,0.0,3,19.24,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 98.45 above ceiling 40.0,,,,,12.71,18.08,18.94
MTARTECH.NS,MTAR Technologies Limited,Defence and Aerospace,Mid,21880.8,7113.5,8714.0,18.37,163.19,11.16,14.56,3,8.65,0.24,3,35.96,False,only 3 FY(s) of usable fundamentals (need 4) | ROCE computable for only 3 FY(s) (need 4) | P/E 163.19 above ceiling 40.0,,,,,21.03,11.48,11.16
